Source,Meand13C,SDd13C,MyNumber
Diet,-29.04680805,1.095837935,BAS_91
Diet,-29.03450502,1.095837935,BAS_93
Diet,-28.23975014,1.095837935,BAS_94
Diet,-29.02954999,1.095837935,BAS_95
Diet,-26.20634096,2.340717324,BAS_96
Diet,-26.22316895,1.095837935,BAS_97
Diet,-27.27833837,1.095837935,BAS_98
Diet,-27.17244104,1.095837935,BAS_99
Diet,-27.03151951,1.095837935,BAS_100
Diet,-26.34383471,1.095837935,BAS_101
Diet,-28.79214196,1.095837935,BAS_102
Diet,-27.76145061,1.095837935,BAS_103
Diet,-28.59734094,1.095837935,BAS_104
Diet,-28.28301295,1.095837935,BAS_105
Diet,-27.19491663,1.095837935,BAS_106
Diet,-25.56588777,1.095837935,BAS_107
Diet,-29.5475316,1.095837935,BAS_110
Diet,-29.27765857,1.095837935,BAS_111
Diet,-27.41728817,1.095837935,BAS_112
Diet,-25.06287539,1.095837935,BAS_120
Diet,-26.78304176,1.095837935,BAS_121
Diet,-29.01147142,1.095837935,BAS_122
Diet,-26.4054904,1.095837935,BAS_123
Diet,-26.99203785,1.095837935,BAS_124
Diet,-25.32640399,1.095837935,BAS_125
Diet,-27.09244157,1.095837935,BAS_126
Diet,-28.65945905,1.095837935,BAS_127
Diet,-27.16755225,1.095837935,BAS_128
Diet,-26.99803702,1.095837935,BAS_220
Diet,-28.08324528,1.095837935,BAS_129
Diet,-25.74986639,1.095837935,BAS_130
Diet,-24.9729172,1.095837935,BAS_145
Diet,-28.16965119,1.095837935,BAS_146
Diet,-28.0365409,1.095837935,BAS_151
Diet,-27.90049177,1.095837935,BAS_152
Diet,-28.55483406,1.095837935,BAS_153
Diet,-28.3150952,1.095837935,BAS_155
Diet,-27.57495084,1.095837935,BAS_156
Diet,-27.8599266,1.095837935,BAS_165
Diet,-28.86660724,1.095837935,BAS_166
Diet,-28.27344655,1.095837935,BAS_167
Diet,-28.6496097,1.095837935,BAS_168
Diet,-29.04895639,1.095837935,BAS_169
Diet,-27.67219938,1.095837935,BAS_170
Diet,-27.53028385,1.095837935,BAS_172
Diet,-27.94902115,1.095837935,BAS_174
Diet,-28.16002593,1.095837935,BAS_175
Diet,-27.73477023,1.095837935,BAS_176
Diet,-28.00167762,1.095837935,BAS_177
Diet,-27.97863517,1.095837935,BAS_178
Diet,-27.97591163,1.373522829,BAS_221
Diet,-25.45471382,1.095837935,BAS_188
Diet,-23.76380687,1.095837935,BAS_189
Diet,-25.84249459,1.095837935,BAS_191
Diet,-26.21569685,1.095837935,BAS_192
Diet,-26.84760831,1.095837935,BAS_193
Diet,-25.16254952,1.095837935,BAS_194
Diet,-24.03257458,1.095837935,BAS_195
Diet,-25.97547289,1.095837935,BAS_196
Diet,-24.167522,1.095837935,BAS_200
Diet,-25.21640906,1.095837935,BAS_201
Diet,-26.1926853,1.095837935,BAS_203
Diet,-24.44149969,1.095837935,BAS_204
Diet,-26.43288344,1.095837935,BAS_205
Diet,-26.48722838,1.095837935,BAS_212
Diet,-26.15015216,1.095837935,BAS_213
Diet,-26.25683188,1.095837935,BAS_214
Diet,-27.08408509,1.095837935,BAS_215
Diet,-26.2194893,1.095837935,BAS_217
Diet,-26.98641577,1.095837935,BAS_218
Diet,-26.70400733,1.095837935,BAS_219
